folio,proveedor,cliente,vehiculo,destino,fecha_envio,hora_carga,prioridad,precio_flete,importe_otros,importe_agregados,importe_total,flete,maniobras_y_otros,mes
E001333,Albornos,Liverpool,Camioneta,Jilotepec,2026-01-02,08:00,1,10000,0,0,10000,10000,0,ene
E001334,Albornos,Arabela,Torthon,Toluca,2026-01-01,14:00,2,12100,4400,0,16500,12100,4400,ene
E001335,Albornos,Parisina,Torthon,Toluca,2026-01-02,14:00,1,12500,4400,0,16900,12500,4400,ene
E001337,Albornos,Casa Ley,Camioneta,Culiacan,2026-01-03,15:00,4,60000,0,0,60000,60000,0,ene
E001339,Albornos,ALFREDO GALARZA HERNANDEZ,Torton,Ixmiquilpa,2026-01-03,15:00,3,12000,5500,0,17500,12000,5500,ene
E001340,Albornos,Suburbia,Torton,Jilotepec,2026-01-05,12:00,1,11000,9570,0,20570,11000,9570,ene
E001341,Paqmex,Merco,Paqueteria,Apodaca,2026-01-05,13:00,2,4363.6,0,0,4363.6,4363.6,0,ene
E001342,Albornos,Chedraui,Trailer,Zumpango,2026-01-05,17:00,3,15000,0,0,15000,15000,0,ene
E001343,Fletexpress,Walmart,Mudancero,Cuautitlan,2026-01-03,12:00,1,14000,14736,0,28736,14000,14736,ene
E001345,Albornos,Soriana,Torton,Queretaro,2026-01-06,16:00,3,12100,0,0,12100,12100,0,ene
E001346,Gonzalez,Chedraui,Trailer,Zumpango,2026-01-06,09:00,1,12000,0,0,12000,12000,0,ene
E001348,Gonzalez,Walmart,Trailer,Cuautitlan,2026-01-07,09:00,1,15000,2800,0,17800,15000,2800,ene
E001349,SDL,OPERADORA FUTURAMA,Torthon,Iztapalapa,2026-01-07,14:00,2,8800,14600,0,23400,8800,14600,ene
E001350,SDL,Walmart,Torthon,Cuautitlan,2026-01-06,14:00,2,8780,17360,0,26140,8780,17360,ene
E001351,Albornos,Soriana,Camioneta,Tultitlan,2026-01-03,16:00,5,7370,1760,0,9130,7370,1760,ene
E001352,Albornos,LA PALESTINA,Torton,Toluca,2026-01-08,16:00,2,12100,4500,0,16600,12100,4500,ene
E001353,Albornos,Soriana,Camioneta,Tultitlan,2026-01-08,17:00,2,7370,2200,0,9570,7370,2200,ene
E001354,Albornos,City Fresko,Camioneta,Vallejo,2026-01-09,10:00,1,7370,0,0,7370,7370,0,ene
E001356,SDL,Parisina,Torthon,Toluca,2026-01-09,12:00,2,11200,6300,0,17500,11200,6300,ene
E001359,Gonzalez,Chedraui,Trailer,Zumpango,2026-01-09,16:00,4,12000,0,0,12000,12000,0,ene
E001360,Albornos,Soriana,Torton,Queretaro,2026-01-09,15:00,3,12100,0,0,12100,12100,0,ene
E001361,SDL,Muestras,Camioneta,Of Mex,2026-01-09,12:00,2,3136,0,0,3136,3136,0,ene
E001362,SDL,Walmart,Torthon,Cuautitlan,2026-01-10,08:00,1,8780,1600,0,10380,8780,1600,ene
E001363,Gonzalez,Chedraui,Trailer,Zumpango,2026-01-10,10:00,2,12000,0,0,12000,12000,0,ene
E001364,Albornos,Arabela,Torthon,Toluca,2026-01-10,12:30,4,12100,4400,0,16500,12100,4400,ene
E001366,Fletexpress,Hoteleria QRoo,Consolidad,QuintanaRo,2026-01-10,13:30,5,66401,0,0,66401,66401,0,ene
E001367,Express,Viaje Local,Automovil,Puebla,2026-01-06,12:00,3,600,0,0,600,600,0,ene
E001368,SDL,Suburbia,Camioneta,Jilotepec,2026-01-12,09:00,1,10000,0,0,10000,10000,0,ene
E001369,Gonzalez,Chedraui,Trailer,Zumpango,2026-01-12,12:00,2,12000,0,0,12000,12000,0,ene
E001373,Albornos,Liverpool,Camioneta,Jilotepec,2026-01-14,11:00,1,8000,0,0,8000,8000,0,ene
E001374,SDL,Walmart,Camioneta,Cuautitlan,2026-01-14,14:00,2,7460,9200,0,16660,7460,9200,ene
E001375,Albornos,Soriana,Torton,Queretaro,2026-01-15,16:00,3,12100,0,0,12100,12100,0,ene
E001376,Albornos,Soriana,Camioneta,Tultitlan,2026-01-15,14:00,1,7370,2200,0,9570,7370,2200,ene
E001378,Albornos,LA PALESTINA,Torton,Toluca,2026-01-14,16:00,3,13200,4400,0,17600,13200,4400,ene
E001379,SDL,WALMART,Torthon,CHALCO,2026-01-12,14:00,1,8800,10800,0,19600,8800,10800,ene
E001380,Albornos,City Fresko,Torton,Vallejo,2026-01-16,09:00,1,8800,0,0,8800,8800,0,ene
E001382,FedEx,Almoda,Paqueteria,Jalisco,2026-01-16,16:00,3,1,0,0,0,1,0,ene
E001383,SDL,Suburbia,Torthon,Jilotepec,2026-01-15,15:30,1,12000,13360,0,25360,12000,13360,ene
E001384,Gonzalez,Chedraui,Trailer,Zumpango,2026-01-17,16:00,1,12000,0,0,12000,12000,0,ene
E001385,Fletexpress,Hoteleria QRoo,Consolidad,QuintanaRo,2026-01-19,08:00,1,66401,0,0,66401,66401,0,ene
